Game ID,Game Event ID,Player ID,Player Name,Team ID,Team Name,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Shot Zone Basic,Shot Zone Area,Shot Zone Range,Shot Distance,X Location,Y Location,Shot Made Flag,Game Date,Home Team,Away Team,Season Type
0020900015,4,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,25,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,99,249,0,20091028,GSW,HOU,Regular Season
0020900015,17,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,31,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-122,145,1,20091028,GSW,HOU,Regular Season
0020900015,53,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,2,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-60,129,0,20091028,GSW,HOU,Regular Season
0020900015,141,201939,Stephen Curry,1610612744,Golden State Warriors,2,9,49,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-172,82,0,20091028,GSW,HOU,Regular Season
0020900015,249,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,19,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-68,148,0,20091028,GSW,HOU,Regular Season
0020900015,277,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,34,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,15,0,20091028,GSW,HOU,Regular Season
0020900015,413,201939,Stephen Curry,1610612744,Golden State Warriors,4,10,26,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-64,149,1,20091028,GSW,HOU,Regular Season
0020900015,453,201939,Stephen Curry,1610612744,Golden State Warriors,4,6,31,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,118,123,1,20091028,GSW,HOU,Regular Season
0020900015,487,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,25,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,121,162,1,20091028,GSW,HOU,Regular Season
0020900015,490,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,47,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-125,134,1,20091028,GSW,HOU,Regular Season
0020900015,508,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,29,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,1,1,20091028,GSW,HOU,Regular Season
0020900015,520,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,0,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,15,1,20091028,GSW,HOU,Regular Season
0020900030,9,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,39,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,152,195,0,20091030,PHX,GSW,Regular Season
0020900030,18,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,27,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-81,205,1,20091030,PHX,GSW,Regular Season
0020900030,258,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,28,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,125,162,1,20091030,PHX,GSW,Regular Season
