Game ID,Game Event ID,Player ID,Player Name,Team ID,Team Name,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Shot Zone Basic,Shot Zone Area,Shot Zone Range,Shot Distance,X Location,Y Location,Shot Made Flag,Game Date,Home Team,Away Team,Season Type
0021800009,21,101108,Chris Paul,1610612745,Houston Rockets,1,10,8,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,122,225,1,20181017,HOU,NOP,Regular Season
0021800009,145,101108,Chris Paul,1610612745,Houston Rockets,1,1,2,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,100,230,1,20181017,HOU,NOP,Regular Season
0021800009,184,101108,Chris Paul,1610612745,Houston Rockets,2,10,43,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,2,262,0,20181017,HOU,NOP,Regular Season
0021800009,192,101108,Chris Paul,1610612745,Houston Rockets,2,9,50,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,107,236,0,20181017,HOU,NOP,Regular Season
0021800009,206,101108,Chris Paul,1610612745,Houston Rockets,2,8,27,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-77,252,0,20181017,HOU,NOP,Regular Season
0021800009,346,101108,Chris Paul,1610612745,Houston Rockets,2,0,26,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,6,0,20181017,HOU,NOP,Regular Season
0021800009,388,101108,Chris Paul,1610612745,Houston Rockets,3,9,48,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-4,109,1,20181017,HOU,NOP,Regular Season
0021800009,424,101108,Chris Paul,1610612745,Houston Rockets,3,5,54,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,52,13,0,20181017,HOU,NOP,Regular Season
0021800009,575,101108,Chris Paul,1610612745,Houston Rockets,4,9,43,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-98,78,0,20181017,HOU,NOP,Regular Season
0021800009,598,101108,Chris Paul,1610612745,Houston Rockets,4,8,30,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,41,90,1,20181017,HOU,NOP,Regular Season
0021800009,699,101108,Chris Paul,1610612745,Houston Rockets,4,1,35,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,2,100,1,20181017,HOU,NOP,Regular Season
0021800009,721,101108,Chris Paul,1610612745,Houston Rockets,4,1,0,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-13,241,1,20181017,HOU,NOP,Regular Season
